"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Cleveland St.",54.9222797927461,311,14.519906323185,320,38.3905013192612,360,34.3449296817172,152
2026,"Coastal Carolina",46.530612244898,20,12.4871170592541,363,27.0413573700954,38,36.3945578231293,213
2026,"Colgate",52.1235521235521,225,16.1425593928272,236,29.8820445609436,140,32.8185328185328,111
2026,"Colorado",52.9774872912128,256,15.3916288701215,281,29.2405063291139,114,34.7857661583152,170
2026,"Colorado St.",53.8294168842472,279,15.4047485511311,280,29.1788856304985,110,33.5944299390775,129
2026,"Columbia",50.5736981465137,143,14.1591565734841,335,27.0893371757925,43,32.6566637246249,105
2026,"Connecticut",44.0047961630695,3,19.0509903618723,70,28.9185905224787,96,40.7673860911271,299
2026,"Coppin St.",58.2191780821918,361,16.8911812140147,184,36.2397820163488,345,45.2054794520548,343
2026,"Cornell",57.6096687555953,357,15.2536960156294,287,30.2287581699346,150,37.5111906893465,238
2026,"Creighton",50.8526603001364,162,13.7937580081307,343,31.4750290360046,220,24.0791268758527,6
2026,"Dartmouth",50.6613756613757,149,13.7139212246851,346,31.314623338257,205,29.1887125220459,46
2026,"Davidson",51.8229166666667,208,17.7660799473598,132,31.2954876273654,204,35.2430555555556,183
2026,"Dayton",51.3986013986014,192,22.8785776840865,5,31.3451776649746,207,33.8772338772339,136
2026,"DePaul",48.070987654321,59,18.0565303387992,117,30.9343434343434,179,37.6543209876543,245
2026,"Delaware",50.5367464905037,142,14.2154786675751,333,29.7111416781293,132,29.8100743187448,55
2026,"Delaware St.",54.2730299667037,293,20.3809503160131,22,29.8828125,141,38.7347391786903,269
2026,"Denver",56.4645726807889,349,13.2827939223119,350,34.7204161248374,327,35.2812271731191,184
2026,"Detroit Mercy",53.4053156146179,268,14.2044450726123,334,30.9859154929577,183,39.4518272425249,279
2026,"Drake",52.3954372623574,236,14.9133612548247,304,29.1614518147685,109,33.9163498098859,137
2026,"Drexel",46.8873128447597,32,16.9896824467818,178,31.0828025477707,192,36.4854215918046,216
2026,"Duke",45.8559256390395,13,19.5707331586734,52,25.9124087591241,16,23.0828814872192,3
2026,"Duquesne",51.4332514332514,194,17.6233099393175,136,28.2258064516129,71,41.1957411957412,310
2026,"East Carolina",52.838605028386,252,17.2256162686376,163,31.6666666666667,229,34.3876723438767,155
2026,"East Tennessee St.",50.7506255212677,154,19.7224622579169,46,27.8688524590164,56,34.3619683069224,154
2026,"East Texas A&M",53.7955073586367,276,17.4041513446818,150,32.4037184594954,262,36.4833462432223,215
2026,"Eastern Illinois",50.9243697478992,166,19.081440648769,69,35.5430183356841,337,36.6386554621849,221
2026,"Eastern Kentucky",55.1684532924962,319,14.9589847402096,301,31.5860215053763,225,38.0551301684533,260
2026,"Eastern Michigan",50.3861003861004,134,16.7696961725635,192,28.957528957529,99,33.5907335907336,128
2026,"Eastern Washington",56.5748031496063,350,16.945863786301,180,32.4087591240876,263,37.0866141732283,227
2026,"Elon",53.5368577810871,271,16.4350765945745,216,34.3434343434343,319,34.921816827997,173
2026,"Evansville",54.40329218107,297,16.296257606226,223,29.7413793103448,134,33.7448559670782,132
2026,"FIU",52.3769100169779,235,19.9294611366579,35,35.4748603351955,336,36.2478777589134,211
2026,"Fairfield",51.7045454545455,204,15.9664642603952,247,28.8156288156288,92,29.6164772727273,53
2026,"Fairleigh Dickinson",55.3900087642419,327,16.6839705683203,201,28.4638554216867,77,37.9491673970202,255
2026,"Florida",46.8277945619335,28,15.556879841922,270,22.9116945107399,2,34.7432024169184,168
2026,"Florida A&M",52.4485798237023,238,19.2536272458472,62,32.9411764705882,281,40.7443682664055,297
2026,"Florida Atlantic",50.2288329519451,123,16.6898470097357,200,28.5,79,37.2997711670481,231
2026,"Florida Gulf Coast",53.027950310559,259,16.5511932255581,209,30.5591677503251,167,40.9937888198758,308
2026,"Florida St.",52.6099925428785,244,19.795284787754,41,32.9923273657289,282,34.675615212528,166
2026,"Fordham",48.9750445632799,83,15.9941277598563,245,26.3386396526773,25,27.9857397504456,33
2026,"Fresno St.",50.8103727714749,159,19.9903762546747,30,30.188679245283,148,30.3079416531605,59
2026,"Furman",49.6511627906977,101,14.0339852852617,338,28.6989795918367,87,26.9767441860465,25
2026,"Gardner Webb",58.0937972768533,360,14.2492787556968,332,36.25,346,35.0226928895613,174
2026,"George Mason",48.757016840417,75,16.3628831814416,219,27.6785714285714,53,29.831595829992,56
2026,"George Washington",51.9752130131681,215,18.2014130044306,105,28.8311688311688,94,33.2300542215337,121
2026,"Georgetown",49.1475166790215,86,16.4788407549091,213,30.7599517490953,175,34.6182357301705,164
2026,"Georgia",47.7349560513861,45,19.4737657394499,56,35.3391684901532,335,29.0736984448952,44
2026,"Georgia Southern",51.6894320632638,203,19.1122622130928,67,35.7743097238896,339,40.4025880661395,293
2026,"Georgia St.",50.0754147812971,117,16.62214306916,206,34.0796019900498,310,34.1628959276018,143
2026,"Georgia Tech",47.4775397373877,38,15.215299494828,290,29.3216630196937,121,34.2087076710435,146
2026,"Gonzaga",46.2277580071174,17,20.5623134034495,21,24.5937161430119,6,32.0996441281139,98
2026,"Grambling St.",51.3902205177373,191,20.6375950728694,20,33.5483870967742,300,42.2818791946309,318
2026,"Grand Canyon",46.7532467532468,24,18.0703663995941,114,26.3636363636364,26,37.6623376623377,248
2026,"Green Bay",55.6800618238022,334,12.9469077697961,356,29.1497975708502,107,38.3307573415765,263
2026,"Hampton",51.0711225364182,170,17.9558842499033,121,30.5177111716621,163,45.3299057412168,344
2026,"Harvard",52.2542831379621,229,17.4136813489798,148,29.6411856474259,131,28.9449954914337,42
2026,"Hawaii",44.1717791411043,6,17.3486979402958,155,26.986301369863,37,35.5828220858896,197
